District,Race/Ethnicity,enrollment.num,absenteeism.percent,suspension.percent
New Haven School District,American Indian or Alaska Native,36,-9999,-9999
New Haven School District,Asian,459,10.6,2.2
New Haven School District,Black or African American,8194,21.9,11.2
New Haven School District,Hispanic/Latino of any race,9682,20.5,4.6
New Haven School District,Native Hawaiian or Other Pacific Islander,10,-9999,-9999
New Haven School District,Two or More Races,271,13.8,-9999
New Haven School District,White,2866,14.2,3.1
