"Student Enrollment Trend"
"Student Counts by District and Year"
"All Districts"

"",,"YEAR",,,,,
"Monroe School District","=""0850011""",3379,3299,3180,3189,3149,3118
"Montville School District","=""0860011""",2418,2356,2256,2210,2180,2077
"Naugatuck School District","=""0880011""",4356,4316,4246,4281,4244,4320
"New Beginnings Inc Family Academy District","=""2800013""",402,473,499,499,497,482
"New Britain School District","=""0890011""",10136,10101,10071,10144,10064,10179
"New Canaan School District","=""0900011""",4192,4213,4227,4260,4237,4173
"New Fairfield School District","=""0910011""",2730,2662,2497,2394,2308,2246
"New Hartford School District","=""0920011""",545,506,470,444,456,446
"New Haven School District","=""0930011""",21420,21711,21725,21981,21518,21264
"New London School District","=""0950011""",3115,3253,3381,3559,3700,3555
"New Milford School District","=""0960011""",4504,4362,4245,4217,4133,3991
"Newington School District","=""0940011""",4244,4127,4060,4069,4078,4051
"Newtown School District","=""0970011""",4920,4767,4588,4470,4407,4306
"Norfolk School District","=""0980011""",117,116,116,102,95,96
"North Branford School District","=""0990011""",2018,1969,1889,1842,1784,1741
"North Canaan School District","=""1000011""",295,280,260,278,281,255
"North Haven School District","=""1010011""",3402,3312,3188,3162,3159,3165
"North Stonington School District","=""1020011""",751,741,728,731,752,727
"Norwalk School District","=""1030011""",11169,11311,11409,11498,11573,11501
"Norwich Free Academy District","=""9010022""",2324,2317,2282,2338,2326,2256
"Norwich School District","=""1040011""",3804,3764,3705,3652,3595,3621
"Odyssey Community School District","=""2630013""",325,328,328,328,329,329
"Old Saybrook School District","=""1060011""",1446,1425,1346,1317,1266,1219
"Orange School District","=""1070011""",1192,1180,1179,1167,1175,1181
"Oxford School District","=""1080011""",2053,1979,1974,1952,1855,1799
"Park City Prep Charter School District","=""2830013""",260,360,360,360,360,360
"Path Academy District","=""2930013""",0,132,143,157,174,0
"Plainfield School District","=""1090011""",2462,2351,2330,2292,2267,2205
"Plainville School District","=""1100011""",2338,2412,2409,2366,2376,2353
"Plymouth School District","=""1110011""",1577,1556,1522,1504,1466,1429
"Pomfret School District","=""1120011""",426,410,402,377,388,381
"Portland School District","=""1130011""",1382,1334,1360,1337,1321,1323
"Preston School District","=""1140011""",433,426,445,430,447,446
"Putnam School District","=""1160011""",1265,1252,1195,1188,1185,1215
"Redding School District","=""1170011""",1060,1001,954,937,914,858
"Regional School District 01","=""2010012""",432,406,446,426,390,391
"Regional School District 04","=""2040012""",983,974,928,952,924,897
"Regional School District 05","=""2050012""",2372,2328,2270,2248,2216,2186
"Regional School District 06","=""2060012""",996,971,986,975,919,912
"Regional School District 07","=""2070012""",1139,1076,1100,1104,1082,1075
"Regional School District 08","=""2080012""",1743,1661,1601,1558,1508,1456
"Regional School District 09","=""2090012""",1082,1065,1028,970,909,889
"Regional School District 10","=""2100012""",2577,2484,2416,2366,2348,2273
"Regional School District 11","=""2110012""",295,278,253,251,235,232
"Regional School District 12","=""2120012""",800,752,732,710,692,685
"Regional School District 13","=""2130012""",1875,1832,1751,1745,1675,1617
"Regional School District 14","=""2140012""",1905,1803,1768,1768,1716,1656
"Regional School District 15","=""2150012""",4002,3868,3793,3729,3631,3628
"Regional School District 16","=""2160012""",2352,2329,2270,2211,2197,2134
"Regional School District 17","=""2170012""",2281,2186,2133,2117,2066,2026
"Regional School District 18","=""2180012""",1411,1354,1339,1308,1278,1263
"Regional School District 19","=""2190012""",1205,1204,1213,1204,1208,1150
"Ridgefield School District","=""1180011""",5293,5178,5052,4984,4929,4860
"Rocky Hill School District","=""1190011""",2425,2487,2610,2621,2709,2748
"Salem School District","=""1210011""",435,399,384,409,401,418
"Salisbury School District","=""1220011""",280,273,274,280,298,287
"Scotland School District","=""1230011""",133,129,119,116,119,105
"Seymour School District","=""1240011""",2306,2286,2215,2158,2176,2178
"Sharon School District","=""1250011""",177,177,160,150,139,115
"Shelton School District","=""1260011""",4982,4947,4925,4815,4720,4713
"Sherman School District","=""1270011""",373,349,337,315,302,279
"Side By Side Charter School District","=""2700013""",235,235,236,236,235,236
"Simsbury School District","=""1280011""",4377,4307,4190,4161,4098,4080
"Somers School District","=""1290011""",1515,1480,1435,1431,1439,1379
"South Windsor School District","=""1320011""",4287,4216,4156,4188,4259,4370
"Southington School District","=""1310011""",6704,6626,6583,6582,6500,6385
"Sprague School District","=""1330011""",365,366,362,339,339,320
"Stafford School District","=""1340011""",1634,1586,1544,1526,1527,1511
"Stamford Academy District","=""2820013""",147,141,150,148,159,152
"Stamford Charter School for Excellence District","=""2960013""",0,0,164,217,273,339
"Stamford School District","=""1350011""",15927,16085,15946,16100,15931,16053
"Sterling School District","=""1360011""",485,467,454,431,387,368
"Stonington School District","=""1370011""",2320,2267,2174,2108,2097,2050
"Stratford School District","=""1380011""",7216,7060,6901,6856,6840,6816
"Suffield School District","=""1390011""",2429,2397,2358,2281,2218,2148
"The Bridge Academy District","=""2690013""",277,275,279,281,279,281
"The Gilbert School District","=""9020022""",537,552,553,562,561,511
"The Woodstock Academy District","=""9030022""",1033,1012,1022,1065,1087,1098
"Thomaston School District","=""1400011""",950,912,900,898,877,853
"Thompson School District","=""1410011""",1079,1016,1007,1018,1020,994
"Tolland School District","=""1420011""",2732,2677,2600,2484,2467,2392
"Torrington School District","=""1430011""",4353,4303,4266,4201,4108,3912
"Trailblazers Academy District","=""2780013""",162,119,125,129,119,127
"Trumbull School District","=""1440011""",6824,6716,6687,6685,6740,6744
"Unified School District #1","=""3360015""",539,410,390,363,179,156
"Unified School District #2","=""3470015""",228,215,173,156,157,109
"Union School District","=""1450011""",78,80,80,"*","*","*"
"Vernon School District","=""1460011""",3350,3282,3204,3224,3108,3137
"Voluntown School District","=""1470011""",310,317,303,285,282,268
"Wallingford School District","=""1480011""",6108,6105,6020,5908,5863,5770
"Waterbury School District","=""1510011""",18706,18878,18862,19001,19007,18847
"Waterford School District","=""1520011""",2572,2552,2528,2535,2535,2519
"Watertown School District","=""1530011""",2932,2848,2828,2782,2785,2754
"West Hartford School District","=""1550011""",9919,9794,9757,9765,9738,9654
"West Haven School District","=""1560011""",6010,5940,5842,5786,5861,5916
"Westbrook School District","=""1540011""",839,807,782,767,731,678
"Weston School District","=""1570011""",2421,2413,2408,2374,2343,2322
"Westport School District","=""1580011""",5786,5772,5714,5623,5598,5539
"Wethersfield School District","=""1590011""",3727,3647,3651,3596,3609,3620
"Willington School District","=""1600011""",458,430,435,428,440,430
"Wilton School District","=""1610011""",4299,4272,4173,4078,4050,3955
"Winchester School District","=""1620011""",652,609,589,565,554,554
"Windham School District","=""1630011""",3273,3190,3296,3337,3349,3377
"Windsor Locks School District","=""1650011""",1687,1664,1638,1572,1553,1570
"Windsor School District","=""1640011""",3283,3168,3214,3212,3274,3297
"Wolcott School District","=""1660011""",2491,2365,2346,2285,2263,2244
"Woodbridge School District","=""1670011""",770,797,775,780,836,847
"Woodstock School District","=""1690011""",904,873,862,842,857,841
"Total","=""""",549877,546347,541815,538893,535025,530612

