"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",72.1,69.0,"N/A",70.9,69.3,"N/A",69.2,69.8,"N/A"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",51.0,51.9,59.8,61.1,59.6,47.8,52.9,55.8,"N/A"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",48.7,40.1,38.0,46.4,40.6,36.7,48.9,45.0,"N/A"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",37.0,34.5,29.9,36.5,34.0,30.4,35.8,34.5,"N/A"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",54.8,45.1,40.7,55.4,48.1,39.0,58.3,48.0,"N/A"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",47.6,44.0,45.4,50.6,45.5,48.0,51.5,47.0,"N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",60.2,49.1,48.3,62.1,54.0,49.0,63.7,53.1,"N/A"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",51.5,40.8,42.0,51.7,45.1,42.2,55.4,46.6,"N/A"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",34.0,24.0,"*",33.1,25.3,"*",33.4,22.9,"N/A"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",41.7,34.0,34.5,38.5,33.8,33.8,40.2,34.9,"N/A"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",52.9,43.1,39.3,51.4,43.2,35.2,55.1,48.2,"N/A"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","*","*","*","*","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",43.9,41.2,43.9,47.5,43.5,40.5,47.1,43.6,"N/A"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",43.2,35.7,34.8,42.9,36.3,36.7,47.8,38.1,"N/A"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",63.2,51.6,48.5,60.3,52.8,43.1,61.7,53.2,"N/A"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",49.8,39.0,36.3,45.7,37.5,37.2,48.3,36.1,"N/A"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",54.8,42.3,39.6,51.4,44.7,36.0,52.6,43.8,"N/A"
"Bridgeport School District","=""0150011""","Geraldine Claytor Magnet Academy","=""0153111""","N/A","N/A","N/A",46.8,37.0,39.7,48.2,39.7,"N/A"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",53.8,44.9,43.1,53.4,48.0,37.1,57.2,49.4,"N/A"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",53.8,48.1,46.1,54.9,47.9,42.7,55.7,48.4,"N/A"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",54.1,44.0,39.9,52.5,44.3,37.8,56.7,47.7,"N/A"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",68.0,52.8,51.5,64.7,55.3,52.3,66.4,56.6,"N/A"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",50.4,46.6,51.5,55.8,51.7,44.3,52.7,50.6,"N/A"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",62.7,53.2,53.2,65.8,54.3,54.5,68.6,56.9,"N/A"
"Bridgeport School District","=""0150011""","James J. Curiale School","=""0154211""",47.0,37.1,37.9,48.1,39.6,39.3,49.5,38.8,"N/A"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",48.7,40.8,36.1,50.5,45.7,38.3,52.2,48.7,"N/A"
"Bridgeport School District","=""0150011""","John Winthrop School","=""0153611""",63.7,50.8,50.2,61.9,57.3,47.5,65.7,56.6,"N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",38.5,30.6,30.2,40.2,34.4,32.9,43.9,33.8,"N/A"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",60.4,49.3,42.8,57.9,52.5,43.2,60.1,54.4,"N/A"
