"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",74.7,66.9,59.4,74.0,66.7,57.9,70.1,66.7,"N/A"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",65.1,58.2,70.0,67.6,63.7,65.0,64.1,61.1,"N/A"
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",71.7,68.5,60.8,75.1,70.9,64.2,74.9,71.0,"N/A"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",79.4,77.4,69.0,77.5,76.2,62.6,77.8,77.4,"N/A"
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",78.7,71.7,"N/A",75.1,71.7,"N/A",76.1,72.7,"N/A"
"East Haddam School District","=""0410011""","East Haddam RAYS","=""0410211""","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",61.1,51.6,60.6,59.8,50.2,61.7,62.0,56.6,"N/A"
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",74.3,64.0,62.9,76.4,68.5,62.2,75.7,68.3,"N/A"
"East Hampton School District","=""0420011""","Center School","=""0420311""",72.7,69.4,62.1,74.0,69.6,61.8,75.2,70.4,"N/A"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",64.5,56.9,66.0,64.3,57.9,62.4,62.3,59.5,"N/A"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",69.0,59.3,63.0,69.9,61.7,60.7,70.4,63.3,"N/A"
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",70.6,62.9,"N/A",77.4,69.2,"N/A",73.4,65.8,"N/A"
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","N/A","N/A","*","*","*","*","N/A","N/A","N/A"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",53.4,43.7,41.7,51.8,42.2,39.2,57.8,49.1,"N/A"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",64.3,59.0,63.6,67.5,61.1,66.3,67.2,62.5,"N/A"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",55.0,50.3,47.1,55.3,48.3,41.5,54.3,48.3,"N/A"
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",57.8,51.8,43.1,54.9,53.1,43.2,59.9,55.2,"N/A"
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",62.8,57.2,49.7,63.1,58.3,47.1,63.9,58.3,"N/A"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",48.7,47.0,48.7,49.1,47.2,47.9,50.2,46.3,"N/A"
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",54.5,44.7,46.9,54.8,44.1,43.7,57.1,48.4,"N/A"
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",71.6,61.2,60.8,64.9,57.6,49.4,66.2,59.9,"N/A"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",64.8,59.6,48.6,"N/A","N/A","N/A","N/A","N/A","N/A"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",66.0,61.4,50.2,67.1,59.8,46.9,67.9,55.1,"N/A"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",56.1,45.0,44.4,56.7,47.7,43.1,56.7,46.7,"N/A"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",57.8,52.0,41.1,54.2,48.1,43.2,56.7,49.0,"N/A"
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",32.8,33.1,"*",34.5,31.4,"*","*","*","N/A"
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",60.5,43.1,"N/A",58.6,48.1,39.3,61.8,55.2,"N/A"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",28.8,19.3,25.3,30.9,21.1,25.5,34.7,24.3,"N/A"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",71.2,64.5,55.5,71.7,64.7,54.1,70.2,62.5,"N/A"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",67.0,65.0,57.9,63.4,64.4,57.6,65.6,65.6,"N/A"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",51.8,46.2,53.7,53.3,48.7,51.8,51.4,47.8,"N/A"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",62.7,55.2,56.4,65.0,54.1,50.6,66.6,51.5,"N/A"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",63.0,50.1,47.8,59.6,51.4,49.1,57.1,50.9,"N/A"
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",64.8,57.9,51.9,65.3,61.9,49.2,65.7,64.1,"N/A"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","*","*","*","*","*","*","*","*","N/A"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",69.3,65.2,69.9,69.6,65.9,66.3,64.6,62.8,"N/A"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",76.2,72.0,64.8,76.4,72.2,62.9,77.7,70.5,"N/A"
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",80.3,72.6,"N/A",78.4,75.6,"N/A",82.4,82.6,"N/A"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",81.0,76.6,"N/A",79.3,73.8,"N/A",83.8,81.2,"N/A"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",84.2,81.4,"N/A",81.8,81.5,"N/A",84.0,84.5,"N/A"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",77.3,74.2,63.8,82.2,76.1,64.8,82.8,75.7,"N/A"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",85.6,80.8,69.3,83.1,80.3,67.4,84.1,79.7,"N/A"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",62.9,57.3,"N/A",62.7,57.1,"N/A",66.1,62.7,"N/A"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",54.5,50.1,57.4,57.4,53.3,51.0,50.2,49.1,"N/A"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",66.4,58.0,62.8,64.1,55.2,56.3,63.1,53.8,"N/A"
"Ellington School District","=""0480011""","Center School","=""0480111""",79.3,73.5,"N/A",75.5,69.6,59.3,76.3,73.2,"N/A"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",79.8,72.7,"N/A",72.2,70.4,57.1,74.3,71.2,"N/A"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",62.2,59.9,65.1,63.1,60.9,62.2,61.8,60.3,"N/A"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",76.6,68.1,62.0,72.5,68.1,60.9,75.9,68.9,"N/A"
"Ellington School District","=""0480011""","The Ellington Public Schools Expulsion Program (TEPSEP)","=""0480511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",79.7,74.0,66.9,"N/A","N/A","N/A","N/A","N/A","N/A"
"Ellington School District","=""0480011""","Windermere School","=""0480611""",81.2,75.3,"N/A",78.6,74.1,64.1,76.9,72.7,"N/A"
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","*","*","*","*","*","*","*","*","N/A"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",70.2,63.8,55.0,70.2,65.6,57.4,71.5,64.4,"N/A"
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","*","*","N/A","N/A","N/A","N/A","*","*","N/A"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",74.0,67.4,60.7,69.2,65.8,58.1,69.1,64.8,"N/A"
"Enfield School District","=""0490011""","Enfield High - Adaptive Learning Program (ALP)","=""0490111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",55.2,55.1,58.0,58.4,55.6,56.2,56.8,53.0,"N/A"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",56.1,51.6,60.7,"N/A","N/A","N/A","N/A","N/A","N/A"
"Enfield School District","=""0490011""","John F. Kennedy - Adaptive Learning Program (ALP)","=""0490911""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",67.0,59.1,59.1,64.3,57.3,57.3,64.2,57.2,"N/A"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*","*","*","*","*","*","*","*","N/A"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",72.9,62.8,60.5,68.5,64.8,58.9,69.0,63.0,"N/A"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",80.8,74.1,69.6,80.1,74.5,65.2,80.9,72.4,"N/A"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",81.7,75.9,66.9,80.4,79.7,69.5,80.9,77.8,"N/A"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",81.0,76.0,66.4,79.9,75.7,61.3,82.6,78.9,"N/A"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",70.0,67.7,67.6,70.3,67.0,67.0,71.2,70.0,"N/A"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",66.6,63.7,67.9,69.7,65.5,64.2,64.8,61.7,"N/A"
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",77.2,71.3,63.8,78.4,74.2,65.7,79.8,73.2,"N/A"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",76.3,69.7,65.7,72.3,68.0,56.8,76.0,71.5,"N/A"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",76.6,72.5,69.1,76.0,75.4,65.8,77.4,74.8,"N/A"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",68.4,66.7,55.6,72.2,70.8,56.2,73.4,71.2,"N/A"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",77.0,72.5,63.6,79.3,76.5,62.9,79.8,76.3,"N/A"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",79.4,73.6,63.2,80.2,74.5,56.7,80.9,75.4,"N/A"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",79.3,72.5,74.6,78.3,74.2,65.1,79.9,80.7,"N/A"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",84.2,76.9,79.9,82.0,77.0,77.2,85.4,82.4,"N/A"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",78.7,74.8,68.3,80.2,76.3,67.5,81.7,76.2,"N/A"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",83.1,77.5,67.4,83.1,80.2,66.2,83.5,82.1,"N/A"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",76.9,71.1,65.4,77.0,71.3,66.2,77.5,73.4,"N/A"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",76.1,66.1,62.4,75.4,67.7,63.9,74.5,68.1,"N/A"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","*","*","*","*","*","*","*","*","N/A"
"Farmington School District","=""0520011""","East Farms School","=""0520411""",88.4,85.3,"N/A",85.5,83.0,"N/A",85.8,82.9,"N/A"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","*","*","*","*","*","N/A","*","*","N/A"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",68.8,67.4,71.0,70.9,69.0,66.1,71.2,70.2,"N/A"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",78.0,76.6,65.2,76.3,74.6,64.0,81.6,76.8,"N/A"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",81.9,74.9,"N/A",81.1,78.4,"N/A",83.7,82.5,"N/A"
"Farmington School District","=""0520011""","Union School","=""0520111""",78.7,73.2,"N/A",80.0,74.5,"N/A",78.7,72.0,"N/A"
"Farmington School District","=""0520011""","West District School","=""0520311""",81.5,77.6,"N/A",80.6,79.6,"N/A",79.6,76.8,"N/A"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",80.7,75.4,72.3,84.0,78.6,74.8,83.4,79.4,"N/A"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",71.0,62.8,59.0,71.3,61.4,61.7,71.9,60.7,"N/A"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",81.0,78.5,68.7,82.0,79.5,65.5,81.7,78.6,"N/A"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",87.4,81.6,78.6,83.1,80.6,71.4,84.2,79.4,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",84.1,79.5,"N/A",84.5,80.0,"N/A",81.5,81.0,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",68.2,70.1,71.1,70.4,72.0,65.9,68.2,69.6,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",84.3,80.4,77.0,83.7,82.6,70.2,86.3,82.8,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",84.0,78.9,70.5,82.6,78.4,67.0,81.0,78.3,"N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",75.3,71.1,59.9,75.9,72.7,57.3,75.4,73.2,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",84.5,82.2,73.5,83.1,82.5,74.2,82.1,81.4,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",77.4,74.4,67.8,76.7,74.6,65.5,80.1,76.6,"N/A"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",67.2,65.2,73.0,71.3,68.6,69.7,66.3,63.9,"N/A"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",77.0,68.9,65.9,78.0,71.6,66.5,77.8,72.8,"N/A"
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",82.5,76.8,76.0,"N/A","N/A","N/A","N/A","N/A","N/A"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",81.2,73.8,73.8,77.4,71.7,68.8,78.0,71.5,"N/A"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",75.9,67.6,63.0,74.9,72.3,60.9,77.4,72.1,"N/A"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",78.5,71.4,63.8,76.8,72.9,64.5,76.7,75.9,"N/A"
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",84.3,81.2,69.1,83.0,82.4,69.3,85.3,82.5,"N/A"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",79.7,73.2,68.2,79.7,76.2,65.1,81.1,76.0,"N/A"
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""","*","*","*","*","*","*","N/A","N/A","N/A"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",69.4,69.4,70.7,70.9,67.9,67.6,71.9,71.5,"N/A"
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",69.2,61.5,52.4,65.1,61.9,49.2,68.0,63.8,"N/A"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",86.5,82.3,72.7,85.6,84.7,69.5,85.4,83.4,"N/A"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",74.4,69.1,60.3,74.0,70.7,62.0,74.5,70.5,"N/A"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",72.0,64.1,53.8,71.5,65.9,51.2,72.2,65.8,"N/A"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",87.2,80.0,72.1,87.9,83.3,75.9,88.1,86.5,"N/A"
"Greenwich School District","=""0570011""","North Street School","=""0570811""",87.0,82.2,70.0,88.1,84.8,68.7,86.6,84.5,"N/A"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",86.8,84.0,68.3,87.4,86.3,72.2,84.8,83.4,"N/A"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",82.1,79.8,68.6,85.5,82.0,70.3,83.6,78.1,"N/A"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",88.8,84.3,70.9,88.9,86.5,70.3,88.3,83.6,"N/A"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",72.8,64.5,60.6,74.3,67.6,59.2,76.2,68.1,"N/A"
"Greenwich School District","=""0570011""","Windrose","=""0571511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","*","*","*","*","*","*","*","*","N/A"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",71.2,63.4,"N/A",70.1,67.0,"N/A",69.1,66.6,"N/A"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",58.7,53.1,55.2,59.2,54.8,52.2,53.1,51.4,"N/A"
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",70.7,65.5,58.4,70.4,68.2,55.9,70.7,69.5,"N/A"
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",68.9,65.0,57.8,71.0,64.3,61.1,72.2,65.5,"N/A"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",63.8,59.4,56.5,65.3,61.9,55.7,66.9,61.6,"N/A"
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",75.7,71.8,70.0,69.6,62.9,58.6,73.0,66.4,"N/A"
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",63.0,58.0,56.8,62.2,60.6,55.6,62.7,60.3,"N/A"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",69.3,67.5,51.5,68.0,65.7,55.2,66.7,63.2,"N/A"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","*","*","*","N/A","N/A","*","*","*","N/A"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",78.1,70.8,57.3,78.4,73.3,65.8,80.1,72.7,"N/A"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",74.1,68.4,60.6,69.8,73.1,58.0,"N/A","N/A","N/A"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",59.8,55.6,59.9,60.2,56.3,54.2,58.2,55.6,"N/A"
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""",76.3,69.8,63.2,75.1,67.8,57.3,75.4,71.7,"N/A"
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",60.4,54.1,57.5,64.7,58.2,53.6,64.4,57.9,"N/A"
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""",80.3,74.8,62.8,79.2,76.8,62.9,82.6,80.8,"N/A"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""",77.0,69.2,"N/A",79.4,78.9,"N/A",82.5,76.7,"N/A"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""",86.1,78.2,"N/A",82.7,80.0,"N/A",86.1,79.8,"N/A"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",82.7,75.0,63.0,80.8,77.3,64.3,80.8,77.5,"N/A"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",70.7,65.7,69.8,70.1,65.9,66.2,71.3,68.3,"N/A"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""",84.6,82.4,"N/A",80.0,81.2,"N/A",85.3,82.1,"N/A"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""",83.5,78.1,"N/A",80.2,80.9,"N/A",79.7,76.9,"N/A"
"Hamden School District","=""0620011""","Alice Peck IIC","=""0620711""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","*","*","N/A","*","*","*","N/A","N/A","N/A"
"Hamden School District","=""0620011""","Bear Path IIC","=""0620911""","N/A","N/A","N/A","N/A","N/A","N/A",43.8,37.6,"N/A"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",69.7,66.4,61.5,74.9,73.8,60.2,75.1,74.0,"N/A"
"Hamden School District","=""0620011""","Church Street IIC","=""0621311""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Hamden School District","=""0620011""","Church Street School","=""0620211""",57.5,52.0,47.5,58.7,53.2,48.8,60.6,53.1,"N/A"
"Hamden School District","=""0620011""","Dunbar Hill IIC","=""0621511""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",70.2,59.6,54.5,66.4,61.8,56.6,68.6,63.7,"N/A"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","*","*","*","*","*","*","*","*","N/A"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",59.4,53.8,53.9,55.5,50.9,50.3,55.9,51.3,"N/A"
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",63.5,55.1,52.5,59.3,56.0,50.5,60.8,56.5,"N/A"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",62.9,55.9,49.7,63.6,57.6,53.3,63.7,58.8,"N/A"
"Hamden School District","=""0620011""","Ridge Hill IIC","=""0621711""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",66.0,59.6,49.2,63.3,60.7,46.9,66.1,58.2,"N/A"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""",66.1,63.2,47.1,68.6,64.6,44.5,67.5,62.9,"N/A"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",76.4,68.5,64.8,79.3,71.3,63.9,81.0,74.6,"N/A"
"Hamden School District","=""0620011""","West Woods School","=""0621411""",78.7,73.5,59.2,76.9,74.7,65.7,80.8,77.0,"N/A"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",68.9,61.2,"*",71.1,68.2,"*",73.5,66.7,"N/A"
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""",44.4,36.3,36.9,36.3,34.8,24.2,49.1,39.9,"N/A"
"Hartford School District","=""0640011""","Autism Program - Burr School","=""0648611""","*","*","*","*","*","*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Autism Program - Hooker School","=""0644311""","*","*","N/A","*","*","*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly School","=""0649311""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",51.7,42.8,37.4,47.2,43.0,40.0,51.6,47.0,"N/A"
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""",55.8,44.6,"N/A",55.6,52.0,"N/A",60.0,56.1,"N/A"
"Hartford School District","=""0640011""","Betances STEM Magnet School","=""0643811""",59.9,54.5,52.5,56.9,50.6,50.8,58.8,52.7,"N/A"
"Hartford School District","=""0640011""","Breakthrough Magnet School, North","=""0643511""",58.5,50.6,43.6,54.9,50.6,48.3,59.1,57.3,"N/A"
"Hartford School District","=""0640011""","Breakthrough Magnet School, South","=""0643311""",64.2,57.3,49.7,62.8,60.0,49.1,65.5,66.0,"N/A"
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",39.5,35.6,"N/A",37.7,34.5,31.4,36.3,35.4,"N/A"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","N/A","N/A",34.8,"N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",42.1,33.2,34.0,40.2,36.0,31.5,40.0,35.4,"N/A"
"Hartford School District","=""0640011""","Burr School","=""0642311""",49.6,42.2,43.2,42.5,37.4,38.5,44.2,43.4,"N/A"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""",51.8,48.6,"N/A",51.9,47.0,"N/A","*","*","N/A"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",55.2,48.9,48.9,49.4,41.0,44.5,52.1,47.0,"N/A"
"Hartford School District","=""0640011""","Clark School","=""0642411""",46.2,41.0,38.4,"N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",55.9,45.9,47.3,54.8,47.8,46.3,54.7,45.8,"N/A"
"Hartford School District","=""0640011""","Culinary Arts Academy at Weaver High School","=""0646011""",37.7,33.1,37.7,38.5,35.1,35.4,37.9,29.8,"N/A"
"Hartford School District","=""0640011""","EDP - Betances School","=""0645811""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","EDP - McDonough Middle School","=""0648111""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Environmental Sciences Magnet at Hooker School","=""0640911""",64.8,60.5,58.8,59.1,58.6,53.3,60.8,59.8,"N/A"
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",55.2,49.7,40.0,53.5,52.2,58.3,53.5,53.0,"N/A"
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",53.6,44.8,38.9,50.8,42.8,40.1,53.0,43.0,"N/A"
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""",50.9,47.0,52.4,53.1,44.5,57.5,56.3,50.5,"N/A"
"Hartford School District","=""0640011""","HPHS Engineering and Green Technology Academy","=""0647211""",34.0,33.5,31.4,34.7,33.7,30.3,35.0,33.3,"N/A"
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",37.6,36.9,32.6,31.2,31.7,29.3,36.2,37.5,"N/A"
"Hartford School District","=""0640011""","HPHS Nursing and Health Sciences Academy","=""0647511""",37.3,33.3,33.8,37.5,34.0,32.8,38.6,34.3,"N/A"
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",59.0,50.1,52.0,55.7,48.4,50.8,56.7,49.6,"N/A"
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",37.0,33.6,29.7,34.9,31.6,29.3,38.7,38.1,"N/A"
"Hartford School District","=""0640011""","Journalism and Media Academy","=""0647711""",41.0,35.9,41.9,44.4,35.9,36.4,39.6,37.1,"N/A"
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",54.5,49.3,40.3,53.1,49.1,39.2,51.6,49.5,"N/A"
"Hartford School District","=""0640011""","Kinsella Magnet School of Performing Arts","=""0641111""",62.2,51.6,47.7,58.4,49.6,44.3,58.6,52.1,"N/A"
"Hartford School District","=""0640011""","LC - Burns School","=""0649611""","*","*","*","*","*","*","N/A","N/A","N/A"
